external_product_id,product_name,brand,retailer_category,retailer_subcategory,ingredients_text,labels,language,country,is_own_brand,weight_per_item_kg,items_purchased,protein_pct,protein_source
PT-MOCK-0001,Grilled Chicken Breast 300g,SeaCatch [fixture],Poultry,Fresh Chicken,,free_range,en,GB,false,0.3,3857,22.0,label
PT-MOCK-0002,Beef Burger 100g,QuickEat [fixture],Red Meat,Burgers,,,en,GB,false,0.1,9135,18.7,label
PT-MOCK-0003,Atlantic Salmon 100g,FarmFirst [fixture],Fish,Fresh Fish,,,en,GB,false,0.1,3782,18.1,label
PT-MOCK-0004,Red Lentil Soup 350g,SeaCatch [fixture],Soups,Pulse Soups,,vegan,fr,FR,true,0.35,11931,4.1,reference_db
PT-MOCK-0005,Pea Protein Powder 800g,NutBarn [fixture],Sports Nutrition,Protein Powders,,vegan,fr,FR,false,0.8,9854,76.3,label
PT-MOCK-0006,Mixed Bean Salad 250g,MedFoods [fixture],Salads,Bean Salads,,vegan,nl,NL,true,0.25,2815,5.0,reference_db
PT-MOCK-0007,Edamame Beans 450g,SeaCatch [fixture],Frozen Vegetables,Edamame,,vegan,en,GB,false,0.45,12709,9.8,reference_db
PT-MOCK-0008,Cheddar Cheese 300g,BreadCo [fixture],Dairy,Cheese,,vegetarian,en,GB,false,0.3,14085,24.1,label
PT-MOCK-0009,Greek Yoghurt 250g,ButcherBest [fixture],Dairy,Yoghurt,,vegetarian,en,GB,false,0.25,7727,11.2,label
PT-MOCK-0010,Oat Milk 1150ml,HomeChef [fixture],Dairy Alternatives,Plant Milks,,vegan,en,GB,false,1.15,13788,0.6,label
PT-MOCK-0011,Soya Mince 350g,SeaCatch [fixture],Meat Alternatives,Soya Products,,vegan,nl,NL,true,0.35,11743,48.6,label
PT-MOCK-0012,Tofu Block 300g,HomeChef [fixture],Meat Alternatives,Tofu,,vegan,de,DE,false,0.3,1507,7.7,label
PT-MOCK-0013,Chicken and Vegetable Pie 450g,HomeChef [fixture],Ready Meals,Pies,,,nl,NL,true,0.45,7628,8.4,label
PT-MOCK-0014,Beef Lasagna 450g,BreadCo [fixture],Ready Meals,Pasta Dishes,,,en,GB,true,0.45,3632,7.5,label
