product_id,product_name,brand_type,retail_category,raw_product_category,ingredient_declaration_simulated,pack_weight_g,units_sold,unit_purchased,sales_weight_kg,drained_weight_g_if_applicable,protein_total_g_per_100g,protein_plant_g_per_100g,protein_animal_g_per_100g,protein_split_known,main_ingredient_origin_hint,label_claims_notes
P001,Lentilles corail seches,Branded,Grocery/Ambient,Pulses,legumineuse principale; eau; sel,500,2624,2624,1312.0,,24.0,24.0,0.0,Yes,Plant,protein split available for Level A
P002,Pois chiches egouttes en bocal,Own brand,Grocery/Ambient,Pulses,legumineuse principale; eau; sel,240,1209,1209,290.16,240,8.6,8.6,0.0,Yes,Plant,protein split available for Level A
P003,Haricots noirs en conserve egouttes,Own brand,Grocery/Ambient,Pulses,legumineuse principale; eau; sel,250,5306,5306,1326.5,250,8.9,8.9,0.0,Yes,Plant,protein split available for Level A
P004,Edamame decortique surgele,Branded,Frozen,Pulses/soy,edamame decortique surgele,400,4812,4812,1924.8,,11.0,11.0,0.0,Yes,Plant,protein split available for Level A
P005,Tofu ferme nature,Own brand,Fresh,Alternative proteins,tofu ferme nature,200,4457,4457,891.4,,13.0,13.0,0.0,Yes,Plant,protein split available for Level A
P006,Tempeh fume,Branded,Fresh,Alternative proteins,tempeh fume,200,3086,3086,617.2,,19.0,19.0,0.0,Yes,Plant,protein split available for Level A
P007,Seitan emince,Branded,Fresh,Alternative proteins,seitan emince,180,2479,2479,446.22,,25.0,25.0,0.0,Yes,Plant,protein split available for Level A
P008,Falafels pois chiches,Own brand,Fresh,Alternative proteins,falafels pois chiches,220,2224,2224,489.28,,9.0,9.0,0.0,Yes,Plant,protein split available for Level A
P009,Hummus tahini,Branded,Fresh,Pulses/nuts spreads,hummus tahini,175,7712,7712,1349.6,,7.5,7.5,0.0,Yes,Plant,protein split available for Level A
P010,Beurre de cacahuete,Branded,Grocery/Ambient,Nuts and seeds,beurre de cacahuete,350,1320,1320,462.0,,25.0,25.0,0.0,Yes,Plant,protein split available for Level A
P011,Amandes grillees,Own brand,Grocery/Ambient,Nuts and seeds,amandes grillees,200,1288,1288,257.6,,21.0,21.0,0.0,Yes,Plant,protein split available for Level A
P012,Noix de cajou nature,Branded,Grocery/Ambient,Nuts and seeds,noix de cajou nature,200,2335,2335,467.0,,18.0,18.0,0.0,Yes,Plant,protein split available for Level A
P013,Graines de chia,Branded,Grocery/Ambient,Nuts and seeds,graines de chia,150,4382,4382,657.3,,17.0,17.0,0.0,Yes,Plant,protein split available for Level A
P014,Melange quinoa boulgour,Own brand,Grocery/Ambient,Whole grains,cereale complete,400,4611,4611,1844.4,,12.0,12.0,0.0,Yes,Plant,whole grain / cereal complete; protein split available for Level A
P015,Steak vegetal pois et feves,Own brand,Fresh,Meat alternatives,steak vegetal pois et feves,200,9079,9079,1815.8,,16.0,16.0,0.0,Yes,Plant,plant-based / vegan possible; protein split available for Level A
P016,Nuggets vegetaux soja,Branded,Frozen,Meat alternatives,nuggets vegetaux soja,250,1234,1234,308.5,,14.0,14.0,0.0,Yes,Plant,plant-based / vegan possible; protein split available for Level A
P017,Filet vegetal facon poisson,Branded,Frozen,Seafood alternatives,filet vegetal facon poisson,220,4057,4057,892.54,,13.0,13.0,0.0,Yes,Plant,plant-based / vegan possible; protein split available for Level A
P018,Boisson soja enrichie,Own brand,Grocery/Ambient,Milk alternatives,boisson soja enrichie,1000,7673,7673,7673.0,,3.3,3.3,0.0,Yes,Plant,plant-based / vegan possible; protein split available for Level A
P019,Yaourt soja nature,Branded,Fresh,Yogurt alternatives,yaourt soja nature,400,4411,4411,1764.4,,4.0,4.0,0.0,Yes,Plant,plant-based / vegan possible; protein split available for Level A
P020,Fromage vegetal noix de cajou,Branded,Fresh,Cheese alternatives,fromage vegetal noix de cajou,150,8159,8159,1223.85,,8.0,8.0,0.0,Yes,Plant,plant-based / vegan possible; protein split available for Level A
P021,Lait demi-ecreme,Own brand,Fresh,Milk,lait demi-ecreme,1000,5357,5357,5357.0,,3.4,0.0,3.4,Yes,Animal,protein split available for Level A
P022,Yaourt grec nature,Branded,Fresh,Yogurt,yaourt grec nature,500,906,906,453.0,,9.0,0.0,9.0,Yes,Animal,protein split available for Level A
P023,Emmental rape,Own brand,Fresh,Cheese,emmental rape,200,3415,3415,683.0,,28.0,0.0,28.0,Yes,Animal,protein split available for Level A
