external_product_id,product_name,brand,retailer_category,retailer_subcategory,ingredients_text,labels,language,country,is_own_brand,retail_channel,weight_per_item_kg,items_sold,wwf_is_composite
WWF-MOCK-0001,Beef Mince 550g,DairyFarm [fixture],Red Meat,Fresh Beef,,,en,GB,false,fresh,0.55,19480,false
WWF-MOCK-0002,Chicken Breast 450g,NutBarn [fixture],Poultry,Fresh Chicken,,free_range,nl,NL,false,fresh,0.45,3289,false
WWF-MOCK-0003,Atlantic Salmon 200g,BreadCo [fixture],Fish,Fresh Fish,,,en,GB,false,fresh,0.2,10820,false
WWF-MOCK-0004,Free Range Eggs 400pk,DairyFarm [fixture],Eggs,Free Range,,free_range|vegetarian,nl,NL,false,grocery_ambient,0.4,11107,false
WWF-MOCK-0005,Whole Milk 1400L,HomeChef [fixture],Dairy,Fresh Milk,,vegetarian,en,GB,false,fresh,1.4,13422,false
WWF-MOCK-0006,Cheddar Cheese 450g,GreenLeaf [fixture],Dairy,Hard Cheese,,vegetarian,fr,FR,false,fresh,0.45,15203,false
WWF-MOCK-0007,Brie 150g,BreadCo [fixture],Dairy,Soft Cheese,,vegetarian,en,GB,false,fresh,0.15,4098,false
WWF-MOCK-0008,Oat Milk 1500L,SpiceCo [fixture],Dairy Alternatives,Plant Milks,,vegan,en,GB,false,grocery_ambient,1.5,17162,false
WWF-MOCK-0009,Soy Yoghurt 450g,GardenFresh [fixture],Dairy Alternatives,Plant Yoghurts,,vegan,en,GB,false,grocery_ambient,0.45,18079,false
WWF-MOCK-0010,Olive Oil 550ml,SeaCatch [fixture],Oils,Olive Oil,,vegan,en,GB,false,grocery_ambient,0.55,17288,false
WWF-MOCK-0011,Butter 300g,NutBarn [fixture],Dairy,Butter,,vegetarian,nl,NL,false,fresh,0.3,14784,false
WWF-MOCK-0012,Frozen Peas 1150g,HomeChef [fixture],Frozen Vegetables,Peas,,vegan,en,GB,true,frozen,1.15,18296,false
WWF-MOCK-0013,Broccoli 350g,NutBarn [fixture],Fresh Vegetables,Brassicas,,vegan,en,GB,true,fresh,0.35,16183,false
WWF-MOCK-0014,Sliced Wholegrain Bread 650g,TofuCo [fixture],Bakery,Sliced Bread,,vegan,de,DE,true,grocery_ambient,0.65,8141,false
WWF-MOCK-0015,White Pasta 550g,OatlyFix [fixture],Dry Goods,Pasta,,vegan,en,GB,false,grocery_ambient,0.55,748,false
WWF-MOCK-0016,Red Kidney Beans 400g,SeaCatch [fixture],Tinned Pulses,Kidney Beans,,vegan,en,GB,true,grocery_ambient,0.4,4017,false
WWF-MOCK-0017,Mixed Nuts 200g,GardenFresh [fixture],Snacks,Nuts,,vegan,en,GB,false,grocery_ambient,0.2,5345,false
WWF-MOCK-0018,Dark Chocolate 100g,HomeChef [fixture],Confectionery,Dark Chocolate,,vegan,de,DE,false,grocery_ambient,0.1,16974,false
WWF-MOCK-0019,Beef and Potato Stew 450g,SpiceCo [fixture],Ready Meals,Stews,,,en,GB,true,fresh,0.45,16110,true
WWF-MOCK-0020,Chicken Curry 450g,NutBarn [fixture],Ready Meals,Curry,,,en,GB,true,fresh,0.45,18363,true
WWF-MOCK-0021,Vegan Lasagna 350g,QuickEat [fixture],Ready Meals,Vegan Meals,,vegan,en,GB,true,fresh,0.35,19940,true
WWF-MOCK-0022,Vegetable Biryani 400g,SpiceCo [fixture],Ready Meals,Rice Dishes,,vegan,en,GB,true,grocery_ambient,0.4,2587,true
WWF-MOCK-0023,Tuna Pasta Bake 350g,SpiceCo [fixture],Ready Meals,Pasta Dishes,,,nl,NL,false,grocery_ambient,0.35,13896,true
WWF-MOCK-0024,Prawn Noodles 300g,OatlyFix [fixture],Ready Meals,Asian,,,nl,NL,false,fresh,0.3,9054,true
WWF-MOCK-0025,Beef Mince 700g,ButcherBest [fixture],Red Meat,Fresh Beef,,,en,GB,false,fresh,0.7,10083,false
WWF-MOCK-0026,Chicken Breast 550g,GardenFresh [fixture],Poultry,Fresh Chicken,,free_range,fr,FR,false,fresh,0.55,16344,false
WWF-MOCK-0027,Atlantic Salmon 250g,OatlyFix [fixture],Fish,Fresh Fish,,,en,GB,false,fresh,0.25,16170,false
WWF-MOCK-0028,Free Range Eggs 300pk,MedFoods [fixture],Eggs,Free Range,,free_range|vegetarian,fr,FR,false,grocery_ambient,0.3,18107,false
WWF-MOCK-0029,Whole Milk 1400L,SpiceCo [fixture],Dairy,Fresh Milk,,vegetarian,en,GB,false,fresh,1.4,6481,false
WWF-MOCK-0030,Cheddar Cheese 500g,TofuCo [fixture],Dairy,Hard Cheese,,vegetarian,en,GB,false,fresh,0.5,12849,false
WWF-MOCK-0031,Brie 150g,WokBox [fixture],Dairy,Soft Cheese,,vegetarian,nl,NL,false,fresh,0.15,1730,false
WWF-MOCK-0032,Oat Milk 1000L,ButcherBest [fixture],Dairy Alternatives,Plant Milks,,vegan,en,GB,false,grocery_ambient,1.0,12792,false
WWF-MOCK-0033,Soy Yoghurt 400g,MedFoods [fixture],Dairy Alternatives,Plant Yoghurts,,vegan,de,DE,false,grocery_ambient,0.4,5284,false
WWF-MOCK-0034,Olive Oil 550ml,DairyFarm [fixture],Oils,Olive Oil,,vegan,en,GB,false,grocery_ambient,0.55,16759,false
WWF-MOCK-0035,Butter 500g,SpiceCo [fixture],Dairy,Butter,,vegetarian,en,GB,false,fresh,0.5,3588,false
WWF-MOCK-0036,Frozen Peas 1200g,FarmFirst [fixture],Frozen Vegetables,Peas,,vegan,en,GB,true,frozen,1.2,17534,false
WWF-MOCK-0037,Broccoli 550g,ButcherBest [fixture],Fresh Vegetables,Brassicas,,vegan,en,GB,true,fresh,0.55,5023,false
WWF-MOCK-0038,Sliced Wholegrain Bread 700g,DairyFarm [fixture],Bakery,Sliced Bread,,vegan,de,DE,true,grocery_ambient,0.7,2751,false
WWF-MOCK-0039,White Pasta 450g,BreadCo [fixture],Dry Goods,Pasta,,vegan,en,GB,false,grocery_ambient,0.45,13324,false
WWF-MOCK-0040,Red Kidney Beans 400g,BreadCo [fixture],Tinned Pulses,Kidney Beans,,vegan,nl,NL,true,grocery_ambient,0.4,17785,false
WWF-MOCK-0041,Mixed Nuts 200g,GardenFresh [fixture],Snacks,Nuts,,vegan,en,GB,false,grocery_ambient,0.2,16289,false
WWF-MOCK-0042,Dark Chocolate 100g,TofuCo [fixture],Confectionery,Dark Chocolate,,vegan,en,GB,false,grocery_ambient,0.1,2542,false
WWF-MOCK-0043,Beef and Potato Stew 400g,QuickEat [fixture],Ready Meals,Stews,,,de,DE,true,fresh,0.4,9716,true
WWF-MOCK-0044,Chicken Curry 450g,FarmFirst [fixture],Ready Meals,Curry,,,de,DE,true,fresh,0.45,14520,true
WWF-MOCK-0045,Vegan Lasagna 450g,GardenFresh [fixture],Ready Meals,Vegan Meals,,vegan,nl,NL,true,fresh,0.45,3593,true
WWF-MOCK-0046,Vegetable Biryani 350g,HomeChef [fixture],Ready Meals,Rice Dishes,,vegan,de,DE,true,grocery_ambient,0.35,1248,true
WWF-MOCK-0047,Tuna Pasta Bake 350g,GreenLeaf [fixture],Ready Meals,Pasta Dishes,,,nl,NL,false,grocery_ambient,0.35,9913,true
WWF-MOCK-0048,Prawn Noodles 300g,DairyFarm [fixture],Ready Meals,Asian,,,en,GB,false,fresh,0.3,8301,true
WWF-MOCK-0049,Beef Mince 600g,GardenFresh [fixture],Red Meat,Fresh Beef,,,fr,FR,false,fresh,0.6,6200,false
WWF-MOCK-0050,Chicken Breast 350g,TofuCo [fixture],Poultry,Fresh Chicken,,free_range,en,GB,false,fresh,0.35,12835,false
WWF-MOCK-0051,Atlantic Salmon 200g,NutBarn [fixture],Fish,Fresh Fish,,,en,GB,false,fresh,0.2,19408,false
WWF-MOCK-0052,Free Range Eggs 300pk,GardenFresh [fixture],Eggs,Free Range,,free_range|vegetarian,en,GB,false,grocery_ambient,0.3,8622,false
WWF-MOCK-0053,Whole Milk 1450L,GreenLeaf [fixture],Dairy,Fresh Milk,,vegetarian,de,DE,false,fresh,1.45,15545,false
WWF-MOCK-0054,Cheddar Cheese 450g,OatlyFix [fixture],Dairy,Hard Cheese,,vegetarian,de,DE,false,fresh,0.45,5476,false
WWF-MOCK-0055,Brie 150g,TofuCo [fixture],Dairy,Soft Cheese,,vegetarian,en,GB,false,fresh,0.15,10102,false
WWF-MOCK-0056,Oat Milk 1250L,ButcherBest [fixture],Dairy Alternatives,Plant Milks,,vegan,en,GB,false,grocery_ambient,1.25,8495,false
WWF-MOCK-0057,Soy Yoghurt 400g,SeaCatch [fixture],Dairy Alternatives,Plant Yoghurts,,vegan,en,GB,false,grocery_ambient,0.4,12905,false
